model,prompt_set,n_shots,n,coverage,macro_pearson,macro_spearman,macro_mae,macro_bias,ci_lo,ci_hi,composite
meta/llama-3.1-70b-instruct,strict_style_v1,10,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowOC_guard_v1,20,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowOC_guard_v1,10,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowOC_guard_v1,5,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowOC_guard_v1,0,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowA_control_v1,20,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowA_control_v1,5,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,lowA_control_v1,0,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,contrastive_v1,5,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,contrastive_v1,0,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,chain_of_thought_v1,10,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,chain_of_thought_v1,0,0,0.0,,,,,,,0.0
meta/llama-3.1-70b-instruct,calibrated_rubric_v1,20,0,0.0,,,,,,,0.0
meta/llama-3.1-8b-instruct,chain_of_thought_v1,0,0,0.0,,,,,,,0.0
