canton,source,url,title,type,depth,parent_url
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:9e67617b-0d27-4b7a-9f16-9b048fb5ae5b/AVB%202024.pdf,Allgemeine Vertragsbedingungen,pdf,2,https://www.ivbe.ch/de/situation/institution.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:b2a98179-f301-4dac-a54b-8724f43ab708/Merkblatt%20Coaching%2001.01.2024.pdf,Merkblatt für Coaching-Anbieter,pdf,2,https://www.ivbe.ch/de/situation/institution.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:8f8e5197-1b57-4dc9-8ed5-c647da2bf0a8/Aktuelle%20Branchenl%C3%B6hne%20f%C3%BCr%20Ausbildungen%20nach%20BBG%202026.pdf,Aktuelle Branchenlöhne für Ausbildungen nach BBG,pdf,2,https://www.ivbe.ch/de/situation/institution.html
BE,be_iv_canton,https://www.ivbe.ch/de/situation/iiz/rav.html,RAV,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:49e11217-891f-4894-b8f5-7ef7c50d248f/Zusammenarbeitsvereinbarung%20AVA-IVBE.pdf,Zusammenarbeitsvereinbarung IVBE - RAV (AVA),pdf,2,https://www.ivbe.ch/de/situation/iiz/rav.html
BE,be_iv_canton,https://www.ivbe.ch/de/situation/iiz/sozialdienst.html,Sozialdienst,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:e11b4f74-cb50-4a8b-9104-76747923e47f/Guidelines%20IVBE%20BKSE%202017.pdf,Guidelines zur Zusammenarbeit Soziale Dienste und IV,pdf,2,https://www.ivbe.ch/de/situation/iiz/sozialdienst.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:6af16c2d-6808-47d0-b193-77038889289e/Aenderung%20in%20der%20Rechtsprechung%20bei%20Suchterkrankungen.pdf,Änderung in der Rechtsprechung bei Suchterkrankungen,pdf,2,https://www.ivbe.ch/de/situation/iiz/sozialdienst.html
BE,be_iv_canton,https://www.ivbe.ch/de/situation/iiz/cmbb.html,CMBB,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/iiz/taggeldversicherer.html,Taggeldversicherer,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/schule_lehrperson.html,Schulen & Lehrpersonen,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:12f6f46d-3d1b-4d99-ad2b-cd1a8b80ae38/IV%20und%20Integration.%20Was%20Lehrpersonen%20wissen%20sollten%20(EDUCATION%201.16).pdf,IV und Integration. Was Lehrpersonen wissen sollten,pdf,2,https://www.ivbe.ch/de/situation/schule_lehrperson.html
BE,be_iv_canton,https://www.ivbe.ch/dam/jcr:82141eef-1187-4dd4-97d2-031460490f75/Themenblatt%20Erstmalige%20Berufliche%20Ausbildung.pdf,Themenblatt Erstmalige berufliche Ausbildung,pdf,2,https://www.ivbe.ch/de/situation/schule_lehrperson.html
BE,be_iv_canton,https://www.ivbe.ch/de/situation/privatperson/uebersicht.html,Privatpersonen – Übersicht,page,1,https://www.ivbe.ch/
BE,be_iv_canton,https://www.ivbe.ch/de/situation/privatperson/unterstuetzung/assistenzbeitrag.html,Privatperson – Assistenzbeitrag,page,1,https://www.ivbe.ch/
